time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
75,2024-06-02 11:46:33,330,199.4,105.93782533256217,24.662174667437824,4431.6542876858275,13715.345712314172,722.1053008561461,0.4843433707836059,159.83331235858995,96.57806813425101,51.31028341505804,11.944960809280891
76,2024-06-02 11:46:34,176,176,0,0,4562.254287685828,13584.745712314172,717.1280065375258,0.40821521594758764,71.84587800677542,71.84587800677542,0,0
77,2024-06-02 11:46:35,164,164,0,0,4556.375191960414,13590.624808039585,717.3520646520184,0.40268559515110275,66.04043760478085,66.04043760478085,0,0
78,2024-06-02 11:46:36,120,120,0,0,4547.495572110039,13599.504427889962,717.6904756890228,0.3840782402215346,46.08938882658415,46.08938882658415,0,0
79,2024-06-02 11:46:37,161,161,0,0,4527.642021237312,13619.357978762688,718.4471140195225,0.40020753817568055,64.43341364628456,64.43341364628456,0,0
80,2024-06-02 11:46:38,57,57,0,0,4518.071423709514,13628.928576290486,718.8118588947209,0.35957822828070357,20.495959012000103,20.495959012000103,0,0
81,2024-06-02 11:46:39,16,16,0,0,4482.756733877127,13664.243266122874,720.1577364220301,0.3446037449534343,5.513659919254949,5.513659919254949,0,0
82,2024-06-02 11:46:40,0,0,0,0,4437.680570411745,13709.319429588255,721.8756333004484,0.33797172294529676,0,0,0,0
83,2024-06-02 11:46:41,0,0,0,0,4389.186067219011,13757.813932780988,723.7238064645028,0.33627677323504873,0,0,0,0
84,2024-06-02 11:46:42,0,0,0,0,4341.221506820176,13805.778493179823,725.5517829879961,0.3346003457556895,0,0,0,0
85,2024-06-02 11:46:43,18,18,0,0,4293.781098056523,13853.218901943477,727.3597835776773,0.338530600916004,6.093550816488072,6.093550816488072,0,0
86,2024-06-02 11:46:44,106,106,0,0,4251.073660290384,13895.926339709615,728.9874059923496,0.3671399776591328,38.91683763186808,38.91683763186808,0,0
87,2024-06-02 11:46:45,37,37,0,0,4229.250204608996,13917.749795391004,729.8191193306011,0.34230195620789716,12.665172379692194,12.665172379692194,0,0
88,2024-06-02 11:46:46,227,199.4,26.498554077501442,1.1014459224985536,4191.570912641993,13955.429087358007,731.2551141685566,0.4159658163440391,94.42424031009688,82.9435837790014,11.022492678784554,0.45816385231092405
89,2024-06-02 11:46:47,50,50,0,0,4219.170912641994,13927.829087358006,730.2032510506859,0.34620987019349675,17.31049350967484,17.31049350967484,0,0
90,2024-06-02 11:46:48,349,199.4,117.24002313475998,32.35997686524002,4184.5780596888235,13962.421940311177,731.5216186653006,0.4840550058466407,168.9351970404776,96.52056816582015,56.750620083956534,15.664008790700915
91,2024-06-02 11:46:49,298,199.4,84.5427993059572,14.057200694042796,4334.178059688824,13812.821940311176,725.820215678581,0.4600956389720078,137.1085004136583,91.74307041101835,38.897773267156595,6.467656735483372
92,2024-06-02 11:46:50,246,199.4,43.460092539039906,3.1399074609600914,4432.778059688824,13714.221940311176,722.0624728009703,0.43621213547966564,107.30818532799775,86.98069981464533,18.95781977459848,1.3696657387539364
